name,artist,release_date,popularity,id,genres,danceability,energy,valence,speechiness,acousticness,instrumentalness,liveness,loudness,mode,key,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Sex on Fire,Kings of Leon,9/23/2008,83,0ntQJM78wzOLVeCUAW7Y45,"['modern rock', 'rock']",0.542,0.905,0.374,0.054,0.00172,0.0104,0.136,-5.653,1,9,153.398,audio_features,spotify:track:0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/audio-analysis/0ntQJM78wzOLVeCUAW7Y45,203347,4
Walking On A Dream,Empire of the Sun,10/3/2008,81,5r5cp9IpziiIsR6b93vcnQ,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",0.871,0.701,0.716,0.0458,0.257,7.52E-06,0.0589,-5.594,0,5,126.975,audio_features,spotify:track:5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/tracks/5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,198440,4
Kiss Me Thru The Phone,Soulja Boy,1/1/2008,79,2q4rjDy9WhaN3o9MvDbO21,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.758,0.712,0.795,0.112,0.0185,0,0.0677,-3.781,1,7,149.998,audio_features,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,193387,4
Just Dance,Lady Gaga,1/1/2008,76,2x7MyWybabEz6Y6wvHuwGE,"['art pop', 'dance pop', 'pop']",0.822,0.739,0.745,0.0311,0.0264,4.26E-05,0.181,-4.541,0,1,118.992,audio_features,spotify:track:2x7MyWybabEz6Y6wvHuwGE,https://api.spotify.com/v1/tracks/2x7MyWybabEz6Y6wvHuwGE,https://api.spotify.com/v1/audio-analysis/2x7MyWybabEz6Y6wvHuwGE,241933,4
Low (feat. T-Pain),Flo Rida,3/17/2008,82,0CAfXk7DXMnon4gLudAp7J,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",0.918,0.609,0.304,0.0791,0.0928,0,0.139,-5.64,0,10,128.008,audio_features,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4
Sextape,Deftones,2008,77,1EryAkZ0VHstC6haIxVBiE,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",0.367,0.634,0.0964,0.027,0.000824,0.0759,0.116,-6.475,1,5,89.981,audio_features,spotify:track:1EryAkZ0VHstC6haIxVBiE,https://api.spotify.com/v1/tracks/1EryAkZ0VHstC6haIxVBiE,https://api.spotify.com/v1/audio-analysis/1EryAkZ0VHstC6haIxVBiE,241533,4
I'm Yours,Jason Mraz,5/12/2008,81,1EzrEOXmMH3G43AXT1y7pA,"['acoustic pop', 'dance pop', 'neo mellow', 'pop']",0.703,0.444,0.712,0.0417,0.559,0,0.0973,-9.331,1,11,150.96,audio_features,spotify:track:1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,242947,4
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,5/20/2008,74,3dmqIB2Qxe2XZobw9gXxJ6,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0.464,0.655,0.531,0.0608,0.0272,1.34E-06,0.328,-9.058,0,7,169.515,audio_features,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,https://api.spotify.com/v1/tracks/3dmqIB2Qxe2XZobw9gXxJ6,https://api.spotify.com/v1/audio-analysis/3dmqIB2Qxe2XZobw9gXxJ6,273600,4
Disturbia,Rihanna,6/2/2008,79,2VOomzT6VavJOGBeySqaMc,"['barbadian pop', 'pop', 'urban contemporary']",0.707,0.813,0.722,0.0571,0.0863,0,0.168,-4.515,0,11,124.921,audio_features,spotify:track:2VOomzT6VavJOGBeySqaMc,https://api.spotify.com/v1/tracks/2VOomzT6VavJOGBeySqaMc,https://api.spotify.com/v1/audio-analysis/2VOomzT6VavJOGBeySqaMc,238627,4
Savior,Rise Against,1/1/2008,78,1vcxF91pWs9uNwDROuiCPB,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']",0.554,0.932,0.478,0.0485,0.00154,0.000142,0.425,-3.424,0,5,112.49,audio_features,spotify:track:1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/tracks/1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/audio-analysis/1vcxF91pWs9uNwDROuiCPB,242280,4
Toes,Zac Brown Band,11/17/2008,74,4S518ci8UY4op0Xyp6Hx6o,"['contemporary country', 'country', 'country road', 'modern country rock']",0.801,0.759,0.821,0.0378,0.657,0,0.0897,-5.398,1,11,129.971,audio_features,spotify:track:4S518ci8UY4op0Xyp6Hx6o,https://api.spotify.com/v1/tracks/4S518ci8UY4op0Xyp6Hx6o,https://api.spotify.com/v1/audio-analysis/4S518ci8UY4op0Xyp6Hx6o,262773,4
Gives You Hell,The All-American Rejects,1/1/2008,72,6ihL9TjfRjadfEePzXXyVF,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",0.718,0.691,0.552,0.0387,0.0159,0,0.0627,-6.44,1,4,100.008,audio_features,spotify:track:6ihL9TjfRjadfEePzXXyVF,https://api.spotify.com/v1/tracks/6ihL9TjfRjadfEePzXXyVF,https://api.spotify.com/v1/audio-analysis/6ihL9TjfRjadfEePzXXyVF,213107,4
Billie Jean,Michael Jackson,2/8/2008,82,5ChkMS8OtdzJeqyybCc9R5,"['r&b', 'soul']",0.92,0.654,0.847,0.0401,0.0236,0.0153,0.036,-3.051,0,11,117.046,audio_features,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
Whatever You Like,T.I.,9/7/2008,75,1IAzD1muglOxOcPbUHs70R,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.68,0.687,0.467,0.0709,0.0161,0,0.261,-6.162,0,9,150.053,audio_features,spotify:track:1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533,4
Hot N Cold,Katy Perry,6/17/2008,72,1y4eb6hmAvsqlDOl3fx9kk,['pop'],0.706,0.841,0.861,0.0418,7.95E-05,0,0.0688,-3.956,1,7,132.032,audio_features,spotify:track:1y4eb6hmAvsqlDOl3fx9kk,https://api.spotify.com/v1/tracks/1y4eb6hmAvsqlDOl3fx9kk,https://api.spotify.com/v1/audio-analysis/1y4eb6hmAvsqlDOl3fx9kk,220227,4
Paparazzi,Lady Gaga,1/1/2008,73,7Hqig8kp32q2Ire3ECQvWM,"['art pop', 'dance pop', 'pop']",0.762,0.692,0.397,0.0438,0.113,0,0.094,-3.973,0,5,114.906,audio_features,spotify:track:7Hqig8kp32q2Ire3ECQvWM,https://api.spotify.com/v1/tracks/7Hqig8kp32q2Ire3ECQvWM,https://api.spotify.com/v1/audio-analysis/7Hqig8kp32q2Ire3ECQvWM,208307,4
Umbrella,Rihanna,6/2/2008,85,49FYlytm3dAAraYgpoJZux,"['barbadian pop', 'pop', 'urban contemporary']",0.583,0.829,0.575,0.134,0.00864,0,0.0426,-4.603,1,1,174.028,audio_features,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4
Miss Independent,Ne-Yo,1/1/2008,78,34ceTg8ChN5HjrqiIYCn9Q,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0.673,0.683,0.713,0.115,0.522,0,0.235,-5.693,1,1,171.86,audio_features,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,https://api.spotify.com/v1/tracks/34ceTg8ChN5HjrqiIYCn9Q,https://api.spotify.com/v1/audio-analysis/34ceTg8ChN5HjrqiIYCn9Q,232000,4
You Belong With Me,Taylor Swift,11/11/2008,71,3GCL1PydwsLodcpv0Ll1ch,['pop'],0.687,0.783,0.443,0.0386,0.162,1.35E-05,0.114,-4.44,1,6,129.964,audio_features,spotify:track:3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/tracks/3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/audio-analysis/3GCL1PydwsLodcpv0Ll1ch,231133,4
Burn It to the Ground,Nickelback,10/28/2008,75,1jq28NGw6wdtFKx8MBPy6C,"['alternative metal', 'canadian rock', 'post-grunge']",0.617,0.922,0.6,0.0744,0.000247,0.388,0.363,-3.474,1,11,132.059,audio_features,spotify:track:1jq28NGw6wdtFKx8MBPy6C,https://api.spotify.com/v1/tracks/1jq28NGw6wdtFKx8MBPy6C,https://api.spotify.com/v1/audio-analysis/1jq28NGw6wdtFKx8MBPy6C,212347,4
Use Somebody,Kings of Leon,9/23/2008,78,5VGlqQANWDKJFl0MBG3sg2,"['modern rock', 'rock']",0.276,0.715,0.173,0.0432,0.00552,0.000417,0.201,-5.356,1,0,137.028,audio_features,spotify:track:5VGlqQANWDKJFl0MBG3sg2,https://api.spotify.com/v1/tracks/5VGlqQANWDKJFl0MBG3sg2,https://api.spotify.com/v1/audio-analysis/5VGlqQANWDKJFl0MBG3sg2,230760,4
A-Punk,Vampire Weekend,1/29/2008,70,3AydAydLzyyZutA0375XIz,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",0.551,0.819,0.846,0.0525,0.0103,0.0437,0.153,-4.489,1,2,174.917,audio_features,spotify:track:3AydAydLzyyZutA0375XIz,https://api.spotify.com/v1/tracks/3AydAydLzyyZutA0375XIz,https://api.spotify.com/v1/audio-analysis/3AydAydLzyyZutA0375XIz,137760,4
Forever,Chris Brown,4/29/2008,78,3NZJlJemX3mzjf56MqC5ML,"['pop rap', 'r&b', 'rap']",0.672,0.82,0.438,0.0459,0.0368,0.000188,0.184,-4.456,1,11,120.005,audio_features,spotify:track:3NZJlJemX3mzjf56MqC5ML,https://api.spotify.com/v1/tracks/3NZJlJemX3mzjf56MqC5ML,https://api.spotify.com/v1/audio-analysis/3NZJlJemX3mzjf56MqC5ML,278573,4
Make You Feel My Love,Adele,1/28/2008,74,5FgPwJ7Nh2FVmIXviKl2VF,"['british soul', 'pop', 'pop soul', 'uk pop']",0.317,0.172,0.0963,0.0326,0.907,0.000383,0.105,-10.636,1,10,65.18,audio_features,spotify:track:5FgPwJ7Nh2FVmIXviKl2VF,https://api.spotify.com/v1/tracks/5FgPwJ7Nh2FVmIXviKl2VF,https://api.spotify.com/v1/audio-analysis/5FgPwJ7Nh2FVmIXviKl2VF,212040,3
So What,P!nk,10/24/2008,78,0JiY190vktuhSGN6aqJdrt,"['dance pop', 'pop']",0.534,0.87,0.462,0.0425,0.000334,0,0.241,-3.078,0,11,126.019,audio_features,spotify:track:0JiY190vktuhSGN6aqJdrt,https://api.spotify.com/v1/tracks/0JiY190vktuhSGN6aqJdrt,https://api.spotify.com/v1/audio-analysis/0JiY190vktuhSGN6aqJdrt,215160,4
American Boy,Estelle,3/28/2008,78,6etwirSInfuJrSOlogS6Sh,"['neo soul', 'r&b']",0.693,0.729,0.521,0.378,0.171,0,0.07,-2.99,1,0,117.848,audio_features,spotify:track:6etwirSInfuJrSOlogS6Sh,https://api.spotify.com/v1/tracks/6etwirSInfuJrSOlogS6Sh,https://api.spotify.com/v1/audio-analysis/6etwirSInfuJrSOlogS6Sh,284733,4
I Kissed A Girl,Katy Perry,6/17/2008,70,005lwxGU1tms6HGELIcUv9,['pop'],0.699,0.76,0.696,0.0677,0.00223,0,0.132,-3.173,1,5,129.996,audio_features,spotify:track:005lwxGU1tms6HGELIcUv9,https://api.spotify.com/v1/tracks/005lwxGU1tms6HGELIcUv9,https://api.spotify.com/v1/audio-analysis/005lwxGU1tms6HGELIcUv9,179640,4
Decode,Paramore,11/4/2008,74,1ZLtE9tSJdaUiIJ9YoKHQe,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",0.28,0.87,0.284,0.0592,0.000686,0.00608,0.101,-4.219,0,10,164.057,audio_features,spotify:track:1ZLtE9tSJdaUiIJ9YoKHQe,https://api.spotify.com/v1/tracks/1ZLtE9tSJdaUiIJ9YoKHQe,https://api.spotify.com/v1/audio-analysis/1ZLtE9tSJdaUiIJ9YoKHQe,261960,4
In Color,Jamey Johnson,1/1/2008,70,7CNd7rjfVt74TFlcOcnZgN,"['country', 'country road', 'outlaw country']",0.544,0.404,0.251,0.0354,0.391,3.98E-06,0.157,-8.751,1,3,129.518,audio_features,spotify:track:7CNd7rjfVt74TFlcOcnZgN,https://api.spotify.com/v1/tracks/7CNd7rjfVt74TFlcOcnZgN,https://api.spotify.com/v1/audio-analysis/7CNd7rjfVt74TFlcOcnZgN,290680,4
Love Story,Taylor Swift,11/11/2008,70,1vrd6UOGamcKNGnSHJQlSt,['pop'],0.618,0.741,0.296,0.031,0.17,0,0.0822,-3.95,1,2,118.984,audio_features,spotify:track:1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/tracks/1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/audio-analysis/1vrd6UOGamcKNGnSHJQlSt,235267,4
Skinny Love,Bon Iver,2/19/2008,73,3B3eOgLJSqPEA0RfboIQVM,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",0.592,0.263,0.109,0.0568,0.845,5.68E-06,0.127,-14.029,0,4,76.366,audio_features,spotify:track:3B3eOgLJSqPEA0RfboIQVM,https://api.spotify.com/v1/tracks/3B3eOgLJSqPEA0RfboIQVM,https://api.spotify.com/v1/audio-analysis/3B3eOgLJSqPEA0RfboIQVM,238520,4
A Milli,Lil Wayne,6/10/2008,71,6ScJMrlpiLfZUGtWp4QIVt,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.674,0.695,0.773,0.278,0.0387,0.00202,0.194,-8.636,0,6,151.486,audio_features,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,https://api.spotify.com/v1/tracks/6ScJMrlpiLfZUGtWp4QIVt,https://api.spotify.com/v1/audio-analysis/6ScJMrlpiLfZUGtWp4QIVt,221840,4
Alright,Darius Rucker,1/1/2008,71,5JlH51YDYsGj2dyEJKKjcN,"['black americana', 'contemporary country', 'country', 'country road', 'modern country rock']",0.601,0.806,0.711,0.0345,0.0527,0,0.185,-4.579,1,7,89.87,audio_features,spotify:track:5JlH51YDYsGj2dyEJKKjcN,https://api.spotify.com/v1/tracks/5JlH51YDYsGj2dyEJKKjcN,https://api.spotify.com/v1/audio-analysis/5JlH51YDYsGj2dyEJKKjcN,231920,4
Don't Stop The Music,Rihanna,6/2/2008,81,0ByMNEPAPpOR5H69DVrTNy,"['barbadian pop', 'pop', 'urban contemporary']",0.835,0.669,0.542,0.0643,0.0336,6.92E-05,0.0535,-5.582,0,6,122.668,audio_features,spotify:track:0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/tracks/0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/audio-analysis/0ByMNEPAPpOR5H69DVrTNy,267080,4
Burnin' Up,Jonas Brothers,8/12/2008,73,2VEsmoek0sol9MnJFyoG9e,"['boy band', 'pop']",0.667,0.954,0.807,0.0817,0.0296,0,0.331,-3.462,1,2,114.03,audio_features,spotify:track:2VEsmoek0sol9MnJFyoG9e,https://api.spotify.com/v1/tracks/2VEsmoek0sol9MnJFyoG9e,https://api.spotify.com/v1/audio-analysis/2VEsmoek0sol9MnJFyoG9e,175093,4
Addicted,Saving Abel,1/1/2008,70,3pxCXv0NACYfYnLjFcQW5D,"['alternative metal', 'nu metal', 'post-grunge']",0.512,0.864,0.527,0.0338,0.000821,0,0.0982,-4.146,1,7,138.018,audio_features,spotify:track:3pxCXv0NACYfYnLjFcQW5D,https://api.spotify.com/v1/tracks/3pxCXv0NACYfYnLjFcQW5D,https://api.spotify.com/v1/audio-analysis/3pxCXv0NACYfYnLjFcQW5D,222827,4
Circus,Britney Spears,12/2/2008,76,7jk7gqyEonmVVYahZN5zhW,"['dance pop', 'pop']",0.791,0.733,0.761,0.052,0.147,0.000381,0.0713,-5.215,0,6,114.98,audio_features,spotify:track:7jk7gqyEonmVVYahZN5zhW,https://api.spotify.com/v1/tracks/7jk7gqyEonmVVYahZN5zhW,https://api.spotify.com/v1/audio-analysis/7jk7gqyEonmVVYahZN5zhW,192360,4
Chasing Pavements,Adele,1/28/2008,72,56pHllZT7QOacB0bP56ofx,"['british soul', 'pop', 'pop soul', 'uk pop']",0.616,0.47,0.325,0.0253,0.291,0,0.111,-6.092,0,5,80.03,audio_features,spotify:track:56pHllZT7QOacB0bP56ofx,https://api.spotify.com/v1/tracks/56pHllZT7QOacB0bP56ofx,https://api.spotify.com/v1/audio-analysis/56pHllZT7QOacB0bP56ofx,210507,4
Womanizer,Britney Spears,12/2/2008,77,4fixebDZAVToLbUCuEloa2,"['dance pop', 'pop']",0.724,0.695,0.235,0.0622,0.073,0,0.0889,-5.226,1,11,139,audio_features,spotify:track:4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/tracks/4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/audio-analysis/4fixebDZAVToLbUCuEloa2,224400,4
Second Chance,Shinedown,6/24/2008,70,0CwYG1UnRmOx8Q1EzElCIL,"['alternative metal', 'nu metal', 'post-grunge']",0.46,0.796,0.182,0.0333,0.00107,0,0.106,-4.501,0,0,100.011,audio_features,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,https://api.spotify.com/v1/tracks/0CwYG1UnRmOx8Q1EzElCIL,https://api.spotify.com/v1/audio-analysis/0CwYG1UnRmOx8Q1EzElCIL,222067,4
LoveGame,Lady Gaga,1/1/2008,71,0TcJ7QWpggdSg8t0fHThHm,"['art pop', 'dance pop', 'pop']",0.894,0.678,0.844,0.0523,0.00569,2.43E-06,0.317,-5.611,0,6,105.024,audio_features,spotify:track:0TcJ7QWpggdSg8t0fHThHm,https://api.spotify.com/v1/tracks/0TcJ7QWpggdSg8t0fHThHm,https://api.spotify.com/v1/audio-analysis/0TcJ7QWpggdSg8t0fHThHm,216333,4
White Winter Hymnal,Fleet Foxes,6/3/2008,70,0GegHVxeozw3rdjte45Bfx,"['chamber pop', 'folk', 'indie folk', 'indie rock', 'indietronica', 'modern rock', 'seattle indie', 'singer-songwriter', 'stomp and holler']",0.628,0.5,0.68,0.0268,0.44,0,0.244,-9.66,0,6,124.932,audio_features,spotify:track:0GegHVxeozw3rdjte45Bfx,https://api.spotify.com/v1/tracks/0GegHVxeozw3rdjte45Bfx,https://api.spotify.com/v1/audio-analysis/0GegHVxeozw3rdjte45Bfx,147027,4
Lollipop,Lil Wayne,6/10/2008,72,4P7VFiaZb3xrXoqGwZXC3J,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.829,0.428,0.45,0.0831,0.056,0.00413,0.137,-9.469,1,0,148.075,audio_features,spotify:track:4P7VFiaZb3xrXoqGwZXC3J,https://api.spotify.com/v1/tracks/4P7VFiaZb3xrXoqGwZXC3J,https://api.spotify.com/v1/audio-analysis/4P7VFiaZb3xrXoqGwZXC3J,299333,4
Hayloft,Mother Mother,9/23/2008,75,2kS6td1yvmpNgZTt1q5pQq,"['pov: indie', 'vancouver indie']",0.527,0.922,0.49,0.0728,0.00475,0.000162,0.422,-2.666,0,9,95.975,audio_features,spotify:track:2kS6td1yvmpNgZTt1q5pQq,https://api.spotify.com/v1/tracks/2kS6td1yvmpNgZTt1q5pQq,https://api.spotify.com/v1/audio-analysis/2kS6td1yvmpNgZTt1q5pQq,181680,4
Psychosocial,Slipknot,8/20/2008,77,3RAFcUBrCNaboRXoP3S5t1,"['alternative metal', 'nu metal', 'rap metal', 'rock']",0.568,0.981,0.307,0.0887,0.00269,0.00275,0.0243,-3.889,1,2,135.146,audio_features,spotify:track:3RAFcUBrCNaboRXoP3S5t1,https://api.spotify.com/v1/tracks/3RAFcUBrCNaboRXoP3S5t1,https://api.spotify.com/v1/audio-analysis/3RAFcUBrCNaboRXoP3S5t1,284120,4
Party In The U.S.A.,Miley Cyrus,1/1/2009,79,5Q0Nhxo0l2bP3pNjpGJwV1,['pop'],0.652,0.698,0.47,0.042,0.00112,0.000115,0.0886,-4.667,0,10,96.021,audio_features,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4
Dog Days Are Over,Florence + The Machine,2009,78,1YLJVmuzeM2YSUkCCaTNUB,"['baroque pop', 'modern rock', 'uk alternative pop']",0.492,0.81,0.245,0.0847,0.0416,0.00379,0.117,-5.315,1,7,149.954,audio_features,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,https://api.spotify.com/v1/tracks/1YLJVmuzeM2YSUkCCaTNUB,https://api.spotify.com/v1/audio-analysis/1YLJVmuzeM2YSUkCCaTNUB,251840,4
Best I Ever Had,Drake,2009,79,3QLjDkgLh9AOEHlhQtDuhs,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.395,0.922,0.558,0.375,0.19,0,0.134,-2.176,1,1,162.361,audio_features,spotify:track:3QLjDkgLh9AOEHlhQtDuhs,https://api.spotify.com/v1/tracks/3QLjDkgLh9AOEHlhQtDuhs,https://api.spotify.com/v1/audio-analysis/3QLjDkgLh9AOEHlhQtDuhs,257690,4
Ain't No Rest for the Wicked,Cage The Elephant,3/24/2009,76,3Pzh926pXggbMe2ZpXyMV7,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",0.636,0.849,0.917,0.106,0.0438,0,0.372,-7.075,1,0,156.036,audio_features,spotify:track:3Pzh926pXggbMe2ZpXyMV7,https://api.spotify.com/v1/tracks/3Pzh926pXggbMe2ZpXyMV7,https://api.spotify.com/v1/audio-analysis/3Pzh926pXggbMe2ZpXyMV7,175493,4
Rosyln,Bon Iver,10/9/2009,78,4k7x3QKrc3h3U0Viqk0uop,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",0.329,0.277,0.121,0.0302,0.971,0.024,0.0971,-13.111,0,10,159.719,audio_features,spotify:track:4k7x3QKrc3h3U0Viqk0uop,https://api.spotify.com/v1/tracks/4k7x3QKrc3h3U0Viqk0uop,https://api.spotify.com/v1/audio-analysis/4k7x3QKrc3h3U0Viqk0uop,289560,3
I Gotta Feeling,Black Eyed Peas,1/1/2009,76,2H1047e0oMSj10dgp7p2VG,"['dance pop', 'pop', 'pop rap']",0.744,0.766,0.61,0.0265,0.0873,0,0.509,-6.375,1,0,127.966,audio_features,spotify:track:2H1047e0oMSj10dgp7p2VG,https://api.spotify.com/v1/tracks/2H1047e0oMSj10dgp7p2VG,https://api.spotify.com/v1/audio-analysis/2H1047e0oMSj10dgp7p2VG,289133,4
Day 'N' Nite (nightmare),Kid Cudi,1/1/2009,74,5wfllwdjglyQislkskYLBv,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",0.881,0.441,0.804,0.0646,0.48,9.08E-06,0.119,-6.278,0,11,138.014,audio_features,spotify:track:5wfllwdjglyQislkskYLBv,https://api.spotify.com/v1/tracks/5wfllwdjglyQislkskYLBv,https://api.spotify.com/v1/audio-analysis/5wfllwdjglyQislkskYLBv,221240,4
All I Wanted,Paramore,9/28/2009,75,1Bv3h7Vc4AaYA2BcSM3rVd,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",0.494,0.723,0.152,0.0441,0.0192,0.0322,0.134,-4.559,0,6,144.036,audio_features,spotify:track:1Bv3h7Vc4AaYA2BcSM3rVd,https://api.spotify.com/v1/tracks/1Bv3h7Vc4AaYA2BcSM3rVd,https://api.spotify.com/v1/audio-analysis/1Bv3h7Vc4AaYA2BcSM3rVd,225787,4
Empire State Of Mind,JAY-Z,9/8/2009,83,2igwFfvr1OAGX9SKDCPBwO,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",0.491,0.956,0.811,0.392,0.0295,0,0.46,-1.538,1,11,173.585,audio_features,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920,4
Run This Town,JAY-Z,9/8/2009,80,7LR85XLWw2yXqKBSI5brbG,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",0.632,0.924,0.441,0.29,0.281,0,0.263,-1.802,1,1,86.844,audio_features,spotify:track:7LR85XLWw2yXqKBSI5brbG,https://api.spotify.com/v1/tracks/7LR85XLWw2yXqKBSI5brbG,https://api.spotify.com/v1/audio-analysis/7LR85XLWw2yXqKBSI5brbG,267520,4
Bad Romance,Lady Gaga,11/5/2009,83,0SiywuOBRcynK0uKGWdCnn,"['art pop', 'dance pop', 'pop']",0.696,0.921,0.714,0.0363,0.00314,5.24E-05,0.0842,-3.755,1,0,119.001,audio_features,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4
Down,Jay Sean,1/1/2009,79,6cmm1LMvZdB5zsCwX5BjqE,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",0.727,0.68,0.728,0.0286,0.0101,0,0.0821,-4.498,1,2,132.012,audio_features,spotify:track:6cmm1LMvZdB5zsCwX5BjqE,https://api.spotify.com/v1/tracks/6cmm1LMvZdB5zsCwX5BjqE,https://api.spotify.com/v1/audio-analysis/6cmm1LMvZdB5zsCwX5BjqE,212507,4
Monster,Skillet,8/21/2009,79,2UREu1Y8CO4jXkbvqAtP7g,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock', 'post-grunge']",0.64,0.957,0.692,0.0741,0.0431,0,0.0789,-2.336,1,8,134.992,audio_features,spotify:track:2UREu1Y8CO4jXkbvqAtP7g,https://api.spotify.com/v1/tracks/2UREu1Y8CO4jXkbvqAtP7g,https://api.spotify.com/v1/audio-analysis/2UREu1Y8CO4jXkbvqAtP7g,178013,4
She's Country,Jason Aldean,4/7/2009,73,0PspNrE4MSjr1JeB4OW0jn,"['contemporary country', 'country', 'country road', 'modern country rock']",0.553,0.872,0.638,0.0782,0.198,0,0.0659,-2.832,0,1,172.138,audio_features,spotify:track:0PspNrE4MSjr1JeB4OW0jn,https://api.spotify.com/v1/tracks/0PspNrE4MSjr1JeB4OW0jn,https://api.spotify.com/v1/audio-analysis/0PspNrE4MSjr1JeB4OW0jn,220573,4
